,CommName,SpeciesCatName,SciName,CommGroup
969,"Anchovies, etc. nei","Herrings, sardines, anchovies",Engraulidae,Small Pelagics
1410,Indian oil sardine,"Herrings, sardines, anchovies",Sardinella longiceps,Small Pelagics
2355,Sardinellas nei,"Herrings, sardines, anchovies",Sardinella spp,Small Pelagics
2769,Clupeoids nei,"Herrings, sardines, anchovies",Clupeoidei,Small Pelagics
2958,Dorab wolf-herring,"Herrings, sardines, anchovies",Chirocentrus dorab,Small Pelagics
7526,Pacific anchoveta,"Herrings, sardines, anchovies",Cetengraulis mysticetus,Small Pelagics
7715,Pacific thread herring,"Herrings, sardines, anchovies",Opisthonema libertate,Small Pelagics
8996,Stolephorus anchovies nei,"Herrings, sardines, anchovies",Stolephorus spp,Small Pelagics
10040,Longnose anchovy,"Herrings, sardines, anchovies",Anchoa nasus,Small Pelagics
10603,Pacific menhaden,"Herrings, sardines, anchovies",Ethmidium maculatum,Small Pelagics
11476,South American pilchard,"Herrings, sardines, anchovies",Sardinops sagax,Small Pelagics
14159,Rainbow sardine,"Herrings, sardines, anchovies",Dussumieria acuta,Small Pelagics
15734,Wolf-herrings nei,"Herrings, sardines, anchovies",Chirocentrus spp,Small Pelagics
16180,Atlantic herring,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
16792,European pilchard(=Sardine),"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
16937,European sprat,"Herrings, sardines, anchovies",Sprattus sprattus,Small Pelagics
23679,European anchovy,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
26507,Madeiran sardinella,"Herrings, sardines, anchovies",Sardinella maderensis,Small Pelagics
32344,Atlantic thread herring,"Herrings, sardines, anchovies",Opisthonema oglinum,Small Pelagics
38967,Brazilian menhaden,"Herrings, sardines, anchovies",Brevoortia aurea,Small Pelagics
39345,Brazilian sardinella,"Herrings, sardines, anchovies",Sardinella brasiliensis,Small Pelagics
41218,Round sardinella,"Herrings, sardines, anchovies",Sardinella aurita,Small Pelagics
47106,Pacific herring,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
47833,Scaled sardines,"Herrings, sardines, anchovies",Harengula spp,Small Pelagics
59513,Whitefin wolf-herring,"Herrings, sardines, anchovies",Chirocentrus nudus,Small Pelagics
60584,Bonga shad,"Herrings, sardines, anchovies",Ethmalosa fimbriata,Small Pelagics
76163,Southern African anchovy,"Herrings, sardines, anchovies",Engraulis capensis,Small Pelagics
76226,Southern African pilchard,"Herrings, sardines, anchovies",Sardinops ocellatus,Small Pelagics
76951,Whitehead's round herring,"Herrings, sardines, anchovies",Etrumeus whiteheadi,Small Pelagics
104465,Japanese anchovy,"Herrings, sardines, anchovies",Engraulis japonicus,Small Pelagics
105864,Red-eye round herring,"Herrings, sardines, anchovies",Etrumeus teres,Small Pelagics
107069,Silver-stripe round herring,"Herrings, sardines, anchovies",Spratelloides gracilis,Small Pelagics
131767,Japanese pilchard,"Herrings, sardines, anchovies",Sardinops melanostictus,Small Pelagics
148956,California pilchard,"Herrings, sardines, anchovies",Sardinops caeruleus,Small Pelagics
149145,Californian anchovy,"Herrings, sardines, anchovies",Engraulis mordax,Small Pelagics
152631,Gulf menhaden,"Herrings, sardines, anchovies",Brevoortia patronus,Small Pelagics
163491,Argentine anchovy,"Herrings, sardines, anchovies",Engraulis anchoita,Small Pelagics
163742,Argentine menhaden,"Herrings, sardines, anchovies",Brevoortia pectinata,Small Pelagics
166986,Atlantic anchoveta,"Herrings, sardines, anchovies",Cetengraulis edentulus,Small Pelagics
171445,Anchoveta(=Peruvian anchovy),"Herrings, sardines, anchovies",Engraulis ringens,Small Pelagics
172751,Araucanian herring,"Herrings, sardines, anchovies",Strangomera bentincki,Small Pelagics
181813,Slender rainbow sardine,"Herrings, sardines, anchovies",Dussumieria elopsoides,Small Pelagics
208493,Buccaneer anchovy,"Herrings, sardines, anchovies",Encrasicholina punctifer,Small Pelagics
218440,Bluestripe herring,"Herrings, sardines, anchovies",Herklotsichthys quadrimaculat.,Small Pelagics
267205,Bali sardinella,"Herrings, sardines, anchovies",Sardinella lemuru,Small Pelagics
269675,Goldstripe sardinella,"Herrings, sardines, anchovies",Sardinella gibbosa,Small Pelagics
304466,Japanese sardinella,"Herrings, sardines, anchovies",Sardinella zunasi,Small Pelagics
349743,Australian pilchard,"Herrings, sardines, anchovies",Sardinops neopilchardus,Small Pelagics
361845,Herring Togiak District,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
363767,Anchovy South of Sicily,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
363782,Sardine South of Sicily,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
364949,Pacific herring Central Coast,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
365011,Pacific herring Queen Charlotte Islands,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
365073,Pacific herring Straight of Georgia,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
365135,Pacific herring West Coast of Vancouver Island,"Herrings, sardines, anchovies",Clupea pallasii,Small Pelagics
365886,Japanese anchovy Pacific Coast of Japan,"Herrings, sardines, anchovies",Engraulis japonicus,Small Pelagics
365921,Japanese anchovy Inland Sea of Japan,"Herrings, sardines, anchovies",Engraulis japonicus,Small Pelagics
365979,Japanese anchovy Tsushima Strait,"Herrings, sardines, anchovies",Engraulis japonicus,Small Pelagics
366252,Round herring Tsushima Strait,"Herrings, sardines, anchovies",Etrumeus teres,Small Pelagics
366315,Anchovy West Africa,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
366407,Round Sardinella West Africa,"Herrings, sardines, anchovies",Sardinella aurita,Small Pelagics
366430,Sardinella West Africa,"Herrings, sardines, anchovies",Sardinella spp,Small Pelagics
366453,Sardine West Africa Zone A+B,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
366476,Sardine West Africa Zone C,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
366499,Anchovy Northern Adriatic Sea,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
366512,Sardine Northern Adriatic Sea,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
366538,Herring ICES 22-24-IIIa,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
366560,Herring Northern Irish Sea,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
366613,Herring North Sea,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
366666,Herring ICES VIIa-g-h-j,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
366722,Herring ICES VIa,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
366779,Herring ICES VIa-VIIb-VIIc,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
368131,Chilean Herring Chile Region V-X,"Herrings, sardines, anchovies",Clupea bentincki,Small Pelagics
368290,Peruvian Anchoveta Chile Region V-X,"Herrings, sardines, anchovies",Engraulis ringens,Small Pelagics
368343,Peruvian Anchoveta North Chile,"Herrings, sardines, anchovies",Engraulis ringens,Small Pelagics
368372,Peruvian Anchoveta South Chile,"Herrings, sardines, anchovies",Engraulis ringens,Small Pelagics
368635,Anchovy Gulf of Lions,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
368655,Sardine Gulf of Lions,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
368675,Peruvian anchoveta North-Central Peru,"Herrings, sardines, anchovies",Engraulis ringens,Small Pelagics
368729,Argentine anchoita Northern Argentina,"Herrings, sardines, anchovies",Engraulis anchoita,Small Pelagics
368753,Argentine anchoita Southern Argentina,"Herrings, sardines, anchovies",Engraulis anchoita,Small Pelagics
370687,Atlantic herring Northwestern Atlantic Coast,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
372642,Atlantic menhaden Atlantic,"Herrings, sardines, anchovies",Brevoortia tyrannus,Small Pelagics
374424,Herring Iceland (Summer spawners),"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
377479,Sprat Black Sea,"Herrings, sardines, anchovies",Sprattus sprattus,Small Pelagics
377862,Pacific sardine Pacific Coast,"Herrings, sardines, anchovies",Sardinops sagax,Small Pelagics
378435,Herring ICES 25-32,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
378475,Herring ICES 30,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
378516,Herring ICES 31,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
378550,Herring ICES 28,"Herrings, sardines, anchovies",Clupea harengus,Small Pelagics
378587,Sprat ICES Baltic Areas 22-32,"Herrings, sardines, anchovies",Sprattus sprattus,Small Pelagics
378838,Anchovy ICES VIII,"Herrings, sardines, anchovies",Engraulis encrasicolus,Small Pelagics
378906,European pilchard ICES VIIIc-IXa,"Herrings, sardines, anchovies",Sardina pilchardus,Small Pelagics
1536,Natantian decapods nei,"Shrimps, prawns",Natantia,Warm water shrimp
3147,Giant tiger prawn,"Shrimps, prawns",Penaeus monodon,Warm water shrimp
3889,Parapenaeopsis shrimps nei,"Shrimps, prawns",Parapenaeopsis spp,Warm water shrimp
3952,Penaeus shrimps nei,"Shrimps, prawns",Penaeus spp,Warm water shrimp
7652,Pacific seabobs,"Shrimps, prawns","Xiphopenaeus, Trachypenaeus spp",Warm water shrimp
8558,Banana prawn,"Shrimps, prawns",Penaeus merguiensis,Warm water shrimp
12474,Endeavour shrimp,"Shrimps, prawns",Metapenaeus endeavouri,Warm water shrimp
14663,Sergestid shrimps nei,"Shrimps, prawns",Sergestidae,Warm water shrimp
20946,Blue and red shrimp,"Shrimps, prawns",Aristeus antennatus,Warm water shrimp
22993,Deep-water rose shrimp,"Shrimps, prawns",Parapenaeus longirostris,Warm water shrimp
28720,Palaemonid shrimps nei,"Shrimps, prawns",Palaemonidae,Warm water shrimp
31840,Atlantic seabob,"Shrimps, prawns",Xiphopenaeus kroyeri,Warm water shrimp
38670,Green tiger prawn,"Shrimps, prawns",Penaeus semisulcatus,Warm water shrimp
47043,Redspotted shrimp,"Shrimps, prawns",Penaeus brasiliensis,Warm water shrimp
58694,Speckled shrimp,"Shrimps, prawns",Metapenaeus monoceros,Warm water shrimp
63623,Southern pink shrimp,"Shrimps, prawns",Penaeus notialis,Warm water shrimp
74199,Knife shrimp,"Shrimps, prawns",Haliporoides triarthrus,Warm water shrimp
79694,Caramote prawn,"Shrimps, prawns",Penaeus kerathurus,Warm water shrimp
81061,Common prawn,"Shrimps, prawns",Palaemon serratus,Warm water shrimp
84730,Giant red shrimp,"Shrimps, prawns",Aristaeomorpha foliacea,Warm water shrimp
104804,Kuruma prawn,"Shrimps, prawns",Penaeus japonicus,Warm water shrimp
105927,Redtail prawn,"Shrimps, prawns",Penaeus penicillatus,Warm water shrimp
107195,Southern rough shrimp,"Shrimps, prawns",Trachypenaeus curvirostris,Warm water shrimp
114357,Western king prawn,"Shrimps, prawns",Penaeus latisulcatus,Warm water shrimp
127993,West African estuarine prawn,"Shrimps, prawns",Nematopalaemon hastatus,Warm water shrimp
154770,Northern pink shrimp,"Shrimps, prawns",Penaeus duorarum,Warm water shrimp
155170,Northern white shrimp,"Shrimps, prawns",Penaeus setiferus,Warm water shrimp
156670,Pacific rock shrimp,"Shrimps, prawns",Sicyonia ingentis,Warm water shrimp
158114,Rock shrimp,"Shrimps, prawns",Sicyonia brevirostris,Warm water shrimp
158303,Royal red shrimp,"Shrimps, prawns",Pleoticus robustus,Warm water shrimp
165770,Sao Paulo shrimp,"Shrimps, prawns",Penaeus paulensis,Warm water shrimp
173076,Chilean knife shrimp,"Shrimps, prawns",Haliporoides diomedeae,Warm water shrimp
177240,Akiami paste shrimp,"Shrimps, prawns",Acetes japonicus,Warm water shrimp
178237,Fleshy prawn,"Shrimps, prawns",Penaeus chinensis,Warm water shrimp
183495,Kolibri shrimp,"Shrimps, prawns",Solenocera agassizii,Warm water shrimp
184666,Pacific seabob,"Shrimps, prawns",Xiphopenaeus riveti,Warm water shrimp
185930,Western white shrimp,"Shrimps, prawns",Penaeus occidentalis,Warm water shrimp
191426,Yellowleg shrimp,"Shrimps, prawns",Penaeus californiensis,Warm water shrimp
200191,Argentine red shrimp,"Shrimps, prawns",Pleoticus muelleri,Warm water shrimp
201256,Argentine stiletto shrimp,"Shrimps, prawns",Artemesia longinaris,Warm water shrimp
208196,Whiteleg shrimp,"Shrimps, prawns",Penaeus vannamei,Warm water shrimp
225111,Delta prawn,"Shrimps, prawns",Palaemon longirostris,Warm water shrimp
237318,Guinea shrimp,"Shrimps, prawns",Parapenaeopsis atlantica,Warm water shrimp
259994,Whitebelly prawn,"Shrimps, prawns",Nematopalaemon schmitti,Warm water shrimp
282610,Aristeid shrimps nei,"Shrimps, prawns",Aristeidae,Warm water shrimp
309511,Shiba shrimp,"Shrimps, prawns",Metapenaeus joyneri,Warm water shrimp
361792,Blue Grenadier Southeast Australia,"Cods, hakes, haddocks",Macruronus novaezelandiae,Whitefish
362451,Pacific cod Bering Sea and Aleutian Islands,"Cods, hakes, haddocks",Gadus macrocephalus,Whitefish
362500,Pacific cod Gulf of Alaska,"Cods, hakes, haddocks",Gadus macrocephalus,Whitefish
362995,Walleye pollock Aleutian Islands,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
363032,Walleye pollock Eastern Bering Sea,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
363081,Walleye pollock Gulf of Alaska,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
363188,Atlantic cod Northeast Arctic,"Cods, hakes, haddocks",Gadus morhua,Whitefish
363334,Haddock Northeast Arctic,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
363397,Pollock Northeast Arctic,"Cods, hakes, haddocks",Pollachius virens,Whitefish
364468,Atlantic cod NAFO 4VsW,"Cods, hakes, haddocks",Gadus morhua,Whitefish
364523,Atlantic cod NAFO 4X,"Cods, hakes, haddocks",Gadus morhua,Whitefish
364583,Haddock NAFO-4X5Y,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
364626,Atlantic cod NAFO 2J3KL,"Cods, hakes, haddocks",Gadus morhua,Whitefish
364689,Atlantic cod NAFO 3Ps,"Cods, hakes, haddocks",Gadus morhua,Whitefish
365197,Pacific cod Hecate Strait,"Cods, hakes, haddocks",Gadus macrocephalus,Whitefish
365254,Pacific cod West Coast of Vancouver Island,"Cods, hakes, haddocks",Gadus macrocephalus,Whitefish
365437,Pollock NAFO-4VWX5,"Cods, hakes, haddocks",Pollachius virens,Whitefish
365476,Atlantic cod NAFO 3Pn4RS,"Cods, hakes, haddocks",Gadus morhua,Whitefish
365525,Atlantic cod NAFO 4TVn,"Cods, hakes, haddocks",Gadus morhua,Whitefish
365680,Whiting Black Sea,"Cods, hakes, haddocks",Merlangius merlangus,Whitefish
365699,Alaskan Pollock Pacific Coast of Japan,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
368097,Blue Whiting Chile,"Cods, hakes, haddocks",Micromesistius poutassou,Whitefish
368401,Patagonian grenadier Chile,"Cods, hakes, haddocks",Macruronus magellanicus,Whitefish
368520,South Hake Chile,"Cods, hakes, haddocks",Merluccius australis,Whitefish
368556,South Pacific Hake Chile,"Cods, hakes, haddocks",Merluccius gayi,Whitefish
368774,Argentine hake Northern Argentina,"Cods, hakes, haddocks",Merluccius hubbsi,Whitefish
368801,Argentine hake Southern Argentina,"Cods, hakes, haddocks",Merluccius hubbsi,Whitefish
368824,Patagonian grenadier Southern Argentina,"Cods, hakes, haddocks",Macruronus magellanicus,Whitefish
368854,Southern blue whiting Southern Argentina,"Cods, hakes, haddocks",Micromesistius australis,Whitefish
369545,Shallow-water cape hake South Africa,"Cods, hakes, haddocks",Merluccius capensis,Whitefish
369672,Deep-water cape hake South Africa,"Cods, hakes, haddocks",Merluccius paradoxus,Whitefish
369901,Atlantic cod NAFO 3M,"Cods, hakes, haddocks",Gadus morhua,Whitefish
369954,Atlantic cod NAFO 3NO,"Cods, hakes, haddocks",Gadus morhua,Whitefish
370506,Atlantic cod Georges Bank,"Cods, hakes, haddocks",Gadus morhua,Whitefish
370543,Atlantic cod Gulf of Maine,"Cods, hakes, haddocks",Gadus morhua,Whitefish
370575,Haddock NAFO-5Y,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
370624,Haddock Georges Bank,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
370806,Pollock NAFO-5YZ,"Cods, hakes, haddocks",Pollachius virens,Whitefish
371219,White hake Georges Bank / Gulf of Maine,"Cods, hakes, haddocks",Urophycis tenuis,Whitefish
371836,Hoki Eastern New Zealand,"Cods, hakes, haddocks",Macruronus novaezelandiae,Whitefish
371879,Hoki Western New Zealand,"Cods, hakes, haddocks",Macruronus novaezelandiae,Whitefish
372502,Southern hake Chatham Rise,"Cods, hakes, haddocks",Merluccius australis,Whitefish
372540,Southern hake Sub-Antarctic,"Cods, hakes, haddocks",Merluccius australis,Whitefish
373645,Pacific hake Pacific Coast,"Cods, hakes, haddocks",Merluccius productus,Whitefish
374215,Atlantic cod Faroe Plateau,"Cods, hakes, haddocks",Gadus morhua,Whitefish
374269,Atlantic cod Iceland,"Cods, hakes, haddocks",Gadus morhua,Whitefish
374330,Haddock Faroe Plateau,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
374388,Haddock Iceland,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
374453,Pollock Faroe Plateau,"Cods, hakes, haddocks",Pollachius virens,Whitefish
374508,Pollock or saithe Iceland Grounds,"Cods, hakes, haddocks",Pollachius virens,Whitefish
375338,Southern blue whiting Campbell Island Rise,"Cods, hakes, haddocks",Micromesistius australis,Whitefish
378066,Walleye Pollock Navarinsky,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
378085,Walleye pollock Northern Sea of Okhotsk,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
378135,Walleye pollock Western Bering Sea,"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
378211,Atlantic cod Baltic Areas 22 and 24,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378259,Atlantic cod Baltic Areas 25-32,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378306,Atlantic cod Irish Sea,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378351,Atlantic cod Kattegat,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378393,Atlantic Cod Celtic Sea,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378627,Atlantic cod West of Scotland,"Cods, hakes, haddocks",Gadus morhua,Whitefish
378686,Hake Northeast Atlantic North,"Cods, hakes, haddocks",Merluccius merluccius,Whitefish
378738,Hake Northeast Atlantic South,"Cods, hakes, haddocks",Merluccius merluccius,Whitefish
378941,Blue Whiting Northeast Atlantic,"Cods, hakes, haddocks",Micromesistius poutassou,Whitefish
378974,Haddock West of Scotland,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
379076,Whiting ICES VIa,"Cods, hakes, haddocks",Merlangius merlangus,Whitefish
379109,Atlantic cod North Sea,"Cods, hakes, haddocks",Gadus morhua,Whitefish
379160,Haddock ICES IIIa and North Sea,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
379210,Haddock Rockall Bank,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
379233,Norway pout North Sea,"Cods, hakes, haddocks",Trisopterus esmarkii,Whitefish
379391,"Pollock ICES IIIa, VI and North Sea","Cods, hakes, haddocks",Pollachius virens,Whitefish
379650,Whiting NS-VIId,"Cods, hakes, haddocks",Merlangius merlangus,Whitefish
379674,Haddock ICES VIIb-k,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
379843,Whiting ICES VIIe-k,"Cods, hakes, haddocks",Merlangius merlangus,Whitefish
410732,Roughhead grenadier,"Cods, hakes, haddocks",Macrourus berglax,Whitefish
410795,Roundnose grenadier,"Cods, hakes, haddocks",Coryphaenoides rupestris,Whitefish
410858,Saithe(=Pollock),"Cods, hakes, haddocks",Pollachius virens,Whitefish
410910,Tusk(=Cusk),"Cods, hakes, haddocks",Brosme brosme,Whitefish
410973,Whiting,"Cods, hakes, haddocks",Merlangius merlangus,Whitefish
411031,Blue whiting(=Poutassou),"Cods, hakes, haddocks",Micromesistius poutassou,Whitefish
411089,Blue ling,"Cods, hakes, haddocks",Molva dypterygia,Whitefish
411152,Common mora,"Cods, hakes, haddocks",Mora moro,Whitefish
411215,European hake,"Cods, hakes, haddocks",Merluccius merluccius,Whitefish
411259,Forkbeard,"Cods, hakes, haddocks",Phycis phycis,Whitefish
411322,Forkbeards nei,"Cods, hakes, haddocks",Phycis spp,Whitefish
411385,Gadiformes nei,"Cods, hakes, haddocks",Gadiformes,Whitefish
411448,Greater forkbeard,"Cods, hakes, haddocks",Phycis blennoides,Whitefish
411511,Pollack,"Cods, hakes, haddocks",Pollachius pollachius,Whitefish
411574,Pouting(=Bib),"Cods, hakes, haddocks",Trisopterus luscus,Whitefish
411637,Rocklings nei,"Cods, hakes, haddocks",Gaidropsarus spp,Whitefish
411700,White hake,"Cods, hakes, haddocks",Urophycis tenuis,Whitefish
411763,Ling,"Cods, hakes, haddocks",Molva molva,Whitefish
411826,Navaga(=Wachna cod),"Cods, hakes, haddocks",Eleginus navaga,Whitefish
411889,Polar cod,"Cods, hakes, haddocks",Boreogadus saida,Whitefish
411952,Norway pout,"Cods, hakes, haddocks",Trisopterus esmarkii,Whitefish
412013,Moras nei,"Cods, hakes, haddocks",Moridae,Whitefish
412265,Haddock,"Cods, hakes, haddocks",Melanogrammus aeglefinus,Whitefish
412328,Silver hake,"Cods, hakes, haddocks",Merluccius bilinearis,Whitefish
412391,Red hake,"Cods, hakes, haddocks",Urophycis chuss,Whitefish
412580,Blue antimora,"Cods, hakes, haddocks",Antimora rostrata,Whitefish
412643,Atlantic tomcod,"Cods, hakes, haddocks",Microgadus tomcod,Whitefish
412769,Offshore silver hake,"Cods, hakes, haddocks",Merluccius albidus,Whitefish
412832,Greenland cod,"Cods, hakes, haddocks",Gadus ogac,Whitefish
412957,South Pacific hake,"Cods, hakes, haddocks",Merluccius gayi,Whitefish
412983,Southern blue whiting,"Cods, hakes, haddocks",Micromesistius australis,Whitefish
413046,Tadpole codling,"Cods, hakes, haddocks",Salilota australis,Whitefish
413109,Panama hake,"Cods, hakes, haddocks",Merluccius angustimanus,Whitefish
413209,Alaska pollock(=Walleye poll.),"Cods, hakes, haddocks",Theragra chalcogramma,Whitefish
413272,North Pacific hake,"Cods, hakes, haddocks",Merluccius productus,Whitefish
413335,Pacific cod,"Cods, hakes, haddocks",Gadus macrocephalus,Whitefish
413398,"Grenadiers, rattails nei","Cods, hakes, haddocks",Macrouridae,Whitefish
413774,Saffron cod,"Cods, hakes, haddocks",Eleginus gracilis,Whitefish
413837,Argentine hake,"Cods, hakes, haddocks",Merluccius hubbsi,Whitefish
413900,Grenadiers nei,"Cods, hakes, haddocks",Macrourus spp,Whitefish
413962,Patagonian grenadier,"Cods, hakes, haddocks",Macruronus magellanicus,Whitefish
414088,Brazilian codling,"Cods, hakes, haddocks",Urophycis brasiliensis,Whitefish
414276,Ridge scaled rattail,"Cods, hakes, haddocks",Macrourus carinatus,Whitefish
414339,Southern hake,"Cods, hakes, haddocks",Merluccius australis,Whitefish
414402,Hakes nei,"Cods, hakes, haddocks",Merluccius spp,Whitefish
414465,Cape hakes,"Cods, hakes, haddocks","Merluccius capensis, M.paradoxus",Whitefish
414528,Benguela hake,"Cods, hakes, haddocks",Merluccius polli,Whitefish
414566,Shallow-water Cape hake,"Cods, hakes, haddocks",Merluccius capensis,Whitefish
414629,Senegalese hake,"Cods, hakes, haddocks",Merluccius senegalensis,Whitefish
415437,Poor cod,"Cods, hakes, haddocks",Trisopterus minutus,Whitefish
415563,Blue grenadier,"Cods, hakes, haddocks",Macruronus novaezelandiae,Whitefish
415809,Red codling,"Cods, hakes, haddocks",Pseudophycis bachus,Whitefish
415998,Thorntooth grenadier,"Cods, hakes, haddocks",Lepidorhynchus denticulatus,Whitefish
416187,Unicorn cod,"Cods, hakes, haddocks",Bregmaceros mcclellandi,Whitefish
416925,Moray cods nei,"Cods, hakes, haddocks",Muraenolepis spp,Whitefish
416988,Whitson's grenadier,"Cods, hakes, haddocks",Macrourus whitsoni,Whitefish
1,"Angelsharks, sand devils nei","Sharks, rays, chimaeras",Squatinidae,
64,Common cuttlefish,"Squids, cuttlefishes, octopuses",Sepia officinalis,
127,Red king crab,"King crabs, squat-lobsters",Paralithodes camtschaticus,
190,Righteye flounders nei,"Flounders, halibuts, soles",Pleuronectidae,
253,Sandeels(=Sandlances) nei,Miscellaneous coastal fishes,Ammodytes spp,
286,Scallops nei,"Scallops, pectens",Pectinidae,
349,Sea trout,"Salmons, trouts, smelts",Salmo trutta,
412,Various squids nei,"Squids, cuttlefishes, octopuses","Loliginidae, Ommastrephidae",
475,Spotted wolffish,Miscellaneous demersal fishes,Anarhichas minor,
538,Turbot,"Flounders, halibuts, soles",Psetta maxima,
601,Various sharks nei,"Sharks, rays, chimaeras",Selachimorpha (Pleurotremata),
