assessid,assessorid,stockid,recorder,dateloaded,daterecorded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent,tsn,scientificname,genus,species,assessid,bioid,biovalue,bioyear,bionotes,stockid,scientificname,commonname,stocklong,commonname1,family
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,LEN-SEX-sex,0,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,Linf-cm,38.45,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,LW-a-kg/cm,0.144,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,LW-b-dimensionless,2.522,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,M-1/yr,0.1,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,MAX-AGE-yr,65,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,VB-k-cm/T,0.108,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,VB-t0-yr,0,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,Blim-MT,6766.72,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,SSBmsy-MT,16240.128,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,SSB-SEX-sex,1,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,REC-AGE-yr,0,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,REC-ESTIMATED-yr-yr,NA (always models),NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,TB-TYPE-0-1,0,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,TB-AGE-yr,0,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,A50-yr,3,2005,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,MAT-SEX-sex,1,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,MAT-MODEL-option,logistic,2007,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,MAT-SLOPE-dimensionless,-3,2007,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,Habitat-Habitat,Demersal marine,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,L50-cm,30,2007,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,LEN-SEX-sex,1,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,Linf-cm,103.355,2005,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,LW-a-kg/cm,0.00293,2004,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,LW-b-dimensionless,3.139,2004,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,M-1/yr,0.2,2005,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,MAX-AGE-yr,30,2005,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,MAX-LEN-cm,140,2005,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,VB-k-cm/T,0.166,2004,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,VB-t0-yr,3.139,2004,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
NWFSC-COWCODSCAL-1900-2007-BRANCH,NWFSC,COWCODSCAL,BRANCH,7/26/11,11/21/08,1900-2007,http://www.pcouncil.org/groundfish/gfsafe1008/certified_cowcod_Dec_2007.pdf,"Edward Dick, Edward.Dick@noaa.gov",,NWFSC-COWCODSCAL-2007-Cowcod CA.pdf,1,1,SS2,,../spreadsheets/BRANCH-COWCODSCAL-2007-editedDR-QAQC-summarybiomass.xls,yes,166754,Sebastes levis,Sebastes,levis,NWFSC-COWCODSCAL-1900-2007-BRANCH,SSB-AGE-yr,11+,NULL,,COWCODSCAL,Sebastes levis,Cowcod,Cowcod Southern California,Cowcod,Scorpaenidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,Blim-MT,1385.2,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,7/25/11,4/30/08,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes,165000,Genypterus blacodes,Genypterus,blacodes,CSIRO-NZLINGESE-1968-2007-FULTON,SSBmsy-MT,3324.48,NULL,,NZLINGESE,Genypterus blacodes,Ling,New Zealand ling Eastern half of Southeast Australia,New Zealand ling,Ophidiidae
